login,n,name,blog
chsafouane,19,NA,NA
DivadNojnarg,1,David Granjon,divadnojnarg.github.io
federicomarini,2,Federico Marini,NA
hadley,156,Hadley Wickham,http://hadley.nz
heds1,2,Hedley,NA
jcheng5,44,Joe Cheng,NA
jyuu,1,NA,https://jcahoon.netlify.com/
malcolmbarrett,1,Malcolm Barrett,malco.io
mine-cetinkaya-rundel,1,Mine Cetinkaya-Rundel,http://mine-cr.com
pitmonticone,1,Pietro Monticone,NA
psychometrician,2,psychometrician,NA
ShixiangWang,1,Shixiang Wang,https://shixiangwang.github.io/
tmstauss,1,Tanner Stauss,www.linkedin.com/in/tanner-stauss
