prod_code	title
464	knives, not elsewhere classified
474	tableware and accessories
604	desks, chests, bureaus or buffets
611	bathtubs or showers
649	toilets
676	rugs or carpets, not specified
679	sofas, couches, davenports, divans or st
1141	containers, not specified
1200	sports or recreational activity, n.e.c.
1205	basketball (activity, apparel or equip.)
1211	football (activity, apparel or equip.)
1233	trampolines
1242	slides or sliding boards
1244	monkey bars or other playground climbing
1267	soccer (activity, apparel or equip.)
1333	skateboards
1615	footwear
1616	jewelry
1807	floors or flooring materials
1817	porches, balconies, open-side floors or
1819	nails, screws, tacks or bolts
1842	stairs or steps
1871	fences or fence posts
1884	ceilings and walls (part of completed st
1893	doors, other or not specified
1894	windows & window glass, excl storm windo
3265	weight lifting (activity, apparel or equ
3274	swimming (activity, apparel or equipment
3299	exercise (activity or apparel, w/o equip
4014	furniture, not specified
4056	cabinets, racks, room dividers and shelv
4057	tables, not elsewhere classified
4074	chairs, other or not specified
4076	beds or bedframes, other or not spec
4078	ladders, other or not specified
5034	softball (activity, apparel or equipment
5040	bicycles and accessories (excl mountain
5041	baseball (activity, apparel or equipment
